image,error
IMG000026.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000027.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000032.jpeg,Has 0 positions active: []
IMG000133.jpeg,Has 0 positions active: []
IMG000134.jpeg,Has 0 positions active: []
IMG000151.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000160.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000161.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000190.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000197.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000202.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000208.jpeg,"Has 2 positions active: ['tibia', 'femur']"
IMG000209.jpeg,"Has 2 positions active: ['tibia', 'femur']"
IMG000210.jpeg,"Has 2 positions active: ['hand', 'radius']"
IMG000211.jpeg,"Has 2 positions active: ['hand', 'radius']"
IMG000222.jpeg,Has 0 positions active: []
IMG000245.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000247.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000248.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000249.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000260.jpeg,Has 0 positions active: []
IMG000296.jpeg,"Has 2 positions active: ['tibia', 'femur']"
IMG000298.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000299.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000332.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000333.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000342.jpeg,"Has 2 positions active: ['tibia', 'fibula']"
IMG000375.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000376.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000397.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000398.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000399.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000400.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000401.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000402.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000403.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000404.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000406.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000407.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000448.jpeg,"Has 2 positions active: ['tibia', 'fibula']"
IMG000449.jpeg,"Has 2 positions active: ['tibia', 'fibula']"
IMG000452.jpeg,"Has 2 positions active: ['fibula', 'femur']"
IMG000455.jpeg,"Has 2 positions active: ['tibia', 'fibula']"
IMG000456.jpeg,"Has 2 positions active: ['tibia', 'fibula']"
IMG000457.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000458.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000467.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000473.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000474.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000475.jpeg,"Has 3 positions active: ['foot', 'tibia', 'fibula']"
IMG000476.jpeg,"Has 3 positions active: ['foot', 'tibia', 'fibula']"
IMG000477.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000478.jpeg,"Has 3 positions active: ['foot', 'tibia', 'fibula']"
IMG000479.jpeg,"Has 3 positions active: ['hand', 'ulna', 'radius']"
IMG000480.jpeg,"Has 3 positions active: ['hand', 'ulna', 'radius']"
IMG000513.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000562.jpeg,"Has 2 positions active: ['tibia', 'femur']"
